EDGES=66626, ITERATIONS=5,DATE=2018-03-16 12:30Number of edges,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2.0,0.0,0.0,0.0
1000,5.2,0.39999999999999575,0.0,0.0
2000,6.2,0.9797958971132681,0.0,0.0
3000,9.0,1.6733200530681502,0.0,0.0
4000,12.0,1.7888543819998286,0.0,0.0
5000,17.2,2.227105745132017,0.0,0.0
6000,22.4,4.758150901348132,0.0,0.0
7000,27.0,2.898275349237884,0.0,0.0
8000,48.4,8.114185110040326,0.0,0.0
9000,69.2,12.560254774486038,0.0,0.0
10000,131.8,37.796296114831115,0.0,0.0
11000,414.2,353.900211924209,0.0,0.0
12000,1703.0,1025.8481369091626,0.0,0.0
13000,4575.4,413.79057504975185,0.0,0.0
14000,7320.6,144.0660959420767,0.0,0.0
15000,9727.0,106.00754690112416,0.0,0.0
16000,11429.2,107.20708931775222,0.0,0.0
17000,12944.6,127.6097174983533,0.0,0.0
18000,14229.0,67.59289903541585,0.0,0.0
19000,15361.6,63.057434137534784,0.0,0.0
20000,16298.8,28.71515279486053,0.0,0.0
21000,17105.6,31.99124880427803,6.5538268649911665e-06,1.3107653729982333e-05
22000,17822.6,80.04648649414426,6.5538268649911665e-06,1.3107653729982333e-05
23000,18407.6,64.40993712188593,6.5538268649911665e-06,1.3107653729982333e-05
24000,18933.4,67.90758425933005,2.5075511483444465e-05,3.6072787004226494e-05
25000,19415.4,69.76990755271336,3.9160133193301255e-05,3.268409552983729e-05
26000,19853.2,50.90147345586906,4.099194815556587e-05,3.650616757494674e-05
27000,20216.2,58.84012236532672,4.042205016730576e-05,3.551731748928055e-05
28000,20545.2,54.06440603556597,3.826457921174966e-05,3.514501900064216e-05
29000,20834.2,31.70741238188163,5.5931416847812816e-05,3.7834610078894525e-05
30000,21104.0,25.534290669607408,6.163039673041384e-05,3.7871382074775305e-05
31000,21337.8,22.675096472258417,7.88698108752819e-05,3.706818771909961e-05
32000,21541.2,15.81644713475885,7.801496389289175e-05,3.7411127492212335e-05
33000,21716.2,14.715977709373561,8.95757516547395e-05,4.6092089539177334e-05
34000,21879.4,21.34104027309848,8.237061280316536e-05,4.256936261969048e-05
35000,22008.2,21.967248348447836,9.939970745236605e-05,4.7441865792138275e-05
36000,22133.2,10.45753317060506,0.00010733078778898577,4.9349078089044106e-05
37000,22251.6,14.974645240176523,0.00011842344506047703,4.015407832802476e-05
38000,22355.8,9.744742174021177,0.00012072339051309815,3.827741467999742e-05
39000,22456.4,10.594338108156267,0.00012790139136523133,4.594952781145948e-05
40000,22554.6,18.73606148797186,0.00013531006521261263,3.956550469684931e-05
41000,22627.4,14.361058455069811,0.00013246674299845782,3.86128780634497e-05
42000,22700.6,18.553705831157867,0.00013410859196463573,4.682806103804893e-05
43000,22759.8,20.3410914173765,0.00012912198456735982,4.192459918201469e-05
44000,22817.0,13.490737563232042,0.00014409475898619339,6.017899533670583e-05
45000,22870.2,16.702095676248007,0.00016870213997928135,7.189900066959789e-05
46000,22912.4,11.271202241192064,0.00018033138951244608,7.158625353862701e-05
47000,22956.8,12.367699868534446,0.00018466606815042443,7.564097975414007e-05
48000,22993.8,13.196969352310806,0.00020176917552537313,6.77129263485114e-05
49000,23034.2,10.007996800889847,0.00020260983673532824,6.67785368252723e-05
50000,23062.2,9.516301799689812,0.00021453556416797993,7.090673491424315e-05
51000,23087.6,12.240915002277536,0.0002074180070418743,7.126468401893576e-05
52000,23111.6,13.410443692636669,0.00020930409800302085,6.40525724528142e-05
53000,23133.8,10.342146780922565,0.0002130008438779168,5.932056528429855e-05
54000,23160.6,9.707728883170429,0.00020642913060420323,4.640657010257985e-05
55000,23180.2,7.138627313352174,0.00021213408843772998,4.869286994685747e-05
56000,23198.6,6.858571285702461,0.00020425049960013197,4.8490875619228706e-05
57000,23215.6,6.468384663313391,0.00020304081853064578,4.8710410481144246e-05
58000,23231.0,6.928203230275509,0.00020582901075292927,4.7270379265402944e-05
59000,23243.8,8.423775877725319,0.00020628584955820374,4.390443131626152e-05
60000,23257.2,8.93084542417252,0.0002068014715475819,4.645855324600243e-05
61000,23267.6,9.264987859321705,0.0002072605876674948,4.367045498100057e-05
62000,23280.8,7.909487977232713,0.0002062011619200882,4.386842123676205e-05
63000,23289.4,8.708616424747309,0.00020767667202955278,4.214645796581411e-05
64000,23296.6,9.0906545476607,0.00020754226302183206,3.695073356001593e-05
65000,23305.2,8.084553166075155,0.0002081374961354444,3.123307065848421e-05
66000,23315.0,7.127411869137092,0.00021390636111101135,3.4953064573823857e-05
66626,23318.6,8.089499369999386,0.0002151307023934822,3.8231243216602586e-05
65626,23311.6,6.681317243246587,0.0002169916480054964,3.776107511628356e-05
64626,23305.2,7.626270383786651,0.00021634768984743323,3.429692746337138e-05
63626,23299.2,8.376156634556292,0.00020932487849909619,3.116765578955248e-05
62626,23290.4,9.002221945822766,0.0002069959447288904,3.18577783615935e-05
61626,23279.2,9.907572859516169,0.00020520891695451434,2.870592708212581e-05
60626,23266.8,9.987992790869608,0.0002073170460929051,2.898663979528428e-05
59626,23256.4,11.056219969299487,0.000202771051634105,3.8908147711707484e-05
58626,23241.0,13.971399358964861,0.00019988189846285235,4.993950081627321e-05
57626,23227.4,14.40277750775909,0.0001887684606952857,4.736518356317767e-05
56626,23213.6,14.093970345679892,0.00018891686569922156,4.694401649891691e-05
55626,23192.2,11.23209686419332,0.00019068909092844803,4.817475989636269e-05
54626,23172.0,13.652838531827664,0.00018889878951427926,4.0003578370020635e-05
