EDGES=66626, ITERATIONS=5,DATE=2018-03-16 14:27Number of edges,,
11400,453,77.38733747,2.71E-05,3.89E-05
11500,555.2,147.308384,2.71E-05,3.89E-05
11600,612.6,169.5294665,2.71E-05,3.89E-05
11700,770.2,163.0403631,2.71E-05,3.89E-05
11800,814.6,173.5771874,2.71E-05,3.89E-05
11900,857.2,160.6404681,2.71E-05,3.89E-05
12000,1058,192.4245307,2.71E-05,3.89E-05
12100,1196.8,131.2362755,2.71E-05,3.89E-05
12200,1586.6,183.3407756,2.56E-05,3.87E-05
12300,2000.8,395.0829786,2.56E-05,3.87E-05
12400,2413.4,374.0259884,2.56E-05,3.87E-05
12500,2653.6,408.7926614,2.56E-05,3.87E-05
12600,3135,247.1250695,1.99E-05,2.79E-05
12700,3580.6,396.1497697,1.99E-05,2.79E-05
12800,4021,372.8130899,1.99E-05,2.79E-05
12900,4249.2,464.1432537,1.99E-05,2.79E-05
13000,4608,275.6127718,1.99E-05,2.79E-05
13100,4901,299.1775393,1.99E-05,2.79E-05
13200,5185,253.148178,1.99E-05,2.79E-05
13300,5473.4,186.8792123,1.99E-05,2.79E-05
13400,5797.8,199.5248355,1.99E-05,2.79E-05
13500,5971.4,199.831529,1.94E-05,2.78E-05
13600,6152.6,200.6026919,1.94E-05,2.78E-05
13700,6343.4,189.1185871,1.94E-05,2.78E-05
13800,6645.6,248.2608306,1.94E-05,2.78E-05
13900,6982.2,213.138828,1.94E-05,2.78E-05
14000,7295.4,174.8022883,1.94E-05,2.78E-05
14100,7527.2,171.2137845,1.94E-05,2.78E-05
14200,7763,109.8435251,1.94E-05,2.78E-05
14300,7983.6,99.06684612,1.94E-05,2.78E-05
14400,8241.8,112.9909731,1.94E-05,2.78E-05
14500,8507.4,139.7635146,1.94E-05,2.78E-05
14600,8725.2,178.6095182,1.94E-05,2.78E-05
14700,8993.2,117.3906299,1.94E-05,2.78E-05
14800,9177,129.955377,1.94E-05,2.78E-05
14900,9343.4,134.9186422,1.94E-05,2.78E-05
15000,9541.8,157.5936547,1.94E-05,2.78E-05
15100,9724.2,118.2495666,1.94E-05,2.78E-05
15200,9931.4,153.1529954,1.94E-05,2.78E-05
15300,10152.2,157.2913221,1.94E-05,2.78E-05
15400,10401,135.3247945,1.94E-05,2.78E-05
15500,10573.2,113.5859146,3.36E-05,3.21E-05
15600,10728.4,106.3402088,3.36E-05,3.21E-05
15700,10894,105.0390404,3.36E-05,3.21E-05
15800,11049.4,100.1770433,3.36E-05,3.21E-05
15900,11229,142.3853925,3.36E-05,3.21E-05
16000,11397.8,147.5647654,3.31E-05,3.23E-05
16100,11558.4,144.131329,3.31E-05,3.23E-05
16200,11719.2,139.4437521,3.31E-05,3.23E-05
16300,11856,143.5994429,3.31E-05,3.23E-05
16400,12032.6,157.7372499,3.31E-05,3.23E-05
16500,12215.2,151.5327027,3.31E-05,3.23E-05
16600,12357.4,148.2195669,3.31E-05,3.23E-05
16700,12509.6,117.2597118,3.16E-05,3.07E-05
16800,12658.6,104.1318395,3.16E-05,3.07E-05
16900,12809,91.63405481,3.16E-05,3.07E-05
17000,12957.4,88.17391905,3.02E-05,3.12E-05
17100,13068.4,73.54617597,3.02E-05,3.12E-05
17200,13204.6,84.78112998,3.02E-05,3.12E-05
17300,13327.6,80.59925558,3.02E-05,3.12E-05
17400,13473.2,72.80219777,3.02E-05,3.12E-05
17500,13594.8,47.01659282,3.02E-05,3.12E-05
17600,13721,45.79082878,3.02E-05,3.12E-05
17700,13848.8,56.24019915,3.02E-05,3.12E-05
17800,13950.8,63.05679979,3.02E-05,3.12E-05
17900,14069.4,53.94293281,3.02E-05,3.12E-05
18000,14185.8,54.52118854,3.02E-05,3.12E-05
18100,14309.8,45.64822012,2.88E-05,2.94E-05
18200,14415.4,50.20199199,2.88E-05,2.94E-05
18300,14519.6,59.87854374,2.82E-05,2.87E-05
18400,14624.6,39.57069623,3.31E-05,2.54E-05
18500,14742.6,25.14438307,3.31E-05,2.54E-05
18600,14840.6,28.16096589,3.31E-05,2.54E-05
18700,14943.4,30.05727865,3.31E-05,2.54E-05
18800,15042.6,51.9599846,3.31E-05,2.54E-05
18900,15151.4,67.59171547,3.31E-05,2.54E-05
19000,15258.8,59.02677359,3.31E-05,2.54E-05
19100,15370.2,47.91826374,3.31E-05,2.54E-05
19200,15471.6,39.88282838,2.74E-05,2.13E-05
19300,15563.6,53.93551706,2.74E-05,2.13E-05
19400,15680.4,49.39068738,2.74E-05,2.13E-05
19500,15782.6,40.77057763,2.71E-05,2.15E-05
19600,15881.8,36.70095367,2.71E-05,2.15E-05
19700,15976,39.33446326,2.71E-05,2.15E-05
19800,16068.8,41.94949344,2.71E-05,2.15E-05
19900,16155.8,34.85627634,2.71E-05,2.15E-05
20000,16246.4,20.30369425,2.71E-05,2.15E-05
20100,16331.8,31.10884119,2.71E-05,2.15E-05
20200,16422.4,41.13198269,2.71E-05,2.15E-05
20300,16511.4,46.39224073,2.71E-05,2.15E-05
20400,16598,41.97618372,2.71E-05,2.15E-05
20500,16672.4,42.32068052,2.71E-05,2.15E-05
20600,16768,42.87190222,2.71E-05,2.15E-05
20700,16850.8,36.80978131,2.71E-05,2.15E-05
20800,16936.4,42.55161572,2.68E-05,2.14E-05
20900,17022.2,46.54632101,2.68E-05,2.14E-05
21000,17087.6,45.67975482,2.68E-05,2.14E-05
21100,17172.4,40.42573438,2.68E-05,2.14E-05
21200,17249.2,35.7233817,2.68E-05,2.14E-05
21300,17318.8,31.39044441,2.68E-05,2.14E-05
21400,17388.2,31.66954373,2.68E-05,2.14E-05
21500,17465,40.16466108,2.68E-05,2.14E-05
21600,17528.2,46.65790394,2.68E-05,2.14E-05
21700,17594.2,49.57176616,2.68E-05,2.14E-05
21800,17659.4,63.66977305,2.68E-05,2.14E-05
21900,17730.4,62.65013966,2.68E-05,2.14E-05
22000,17798.2,77.8650114,2.68E-05,2.14E-05
22100,17869.8,75.95367009,2.68E-05,2.14E-05
22200,17933,70.69087636,2.68E-05,2.14E-05
22300,18000.4,68.2718097,2.68E-05,2.14E-05
22400,18056,71.05772301,2.68E-05,2.14E-05
22500,18117.6,61.13460559,2.68E-05,2.14E-05
22600,18176,57.43518086,2.68E-05,2.14E-05
22700,18234.2,51.87060825,2.68E-05,2.14E-05
22800,18298.8,49.04039152,2.68E-05,2.14E-05
22900,18358.2,37.88086588,2.68E-05,2.14E-05
23000,18418.8,35.49873237,2.68E-05,2.14E-05
23100,18472.2,36.43295212,3.53E-05,3.73E-05
23200,18528.8,30.2879514,3.53E-05,3.73E-05
23300,18583.6,26.74023186,3.53E-05,3.73E-05
23400,18644,28.65658738,3.53E-05,3.73E-05
23500,18703.2,33.13246142,3.53E-05,3.73E-05
23600,18759.6,31.11012697,3.85E-05,3.69E-05
23700,18815.6,28.47876402,3.85E-05,3.69E-05
23800,18864.4,25.30296425,3.85E-05,3.69E-05
23900,18913,31.09340766,3.85E-05,3.69E-05
24000,18966,27.64054992,3.85E-05,3.69E-05
24100,19011.6,27.22939588,3.85E-05,3.69E-05
24200,19065.2,29.78858842,3.85E-05,3.69E-05
24300,19113,29.83286778,3.85E-05,3.69E-05
24400,19159.2,30.36708745,3.85E-05,3.69E-05
24500,19208.4,34.24383156,3.85E-05,3.69E-05
24600,19250,37.53931273,3.85E-05,3.69E-05
24700,19295,34.66410247,4.22E-05,3.36E-05
24800,19350.8,37.12896443,4.22E-05,3.36E-05
24900,19389.2,36.449417,4.22E-05,3.36E-05
25000,19437.4,35.79161913,4.22E-05,3.36E-05
25100,19474.8,28.56151257,4.22E-05,3.36E-05
25200,19519.6,31.42355804,4.22E-05,3.36E-05
25300,19564,32.88768767,4.16E-05,3.37E-05
25400,19611.8,34.33016167,4.16E-05,3.37E-05
25500,19657,38.4551687,4.16E-05,3.37E-05
25600,19697.4,41.91228937,4.16E-05,3.37E-05
25700,19735.2,45.87112381,4.02E-05,3.42E-05
25800,19778.2,52.98452604,4.02E-05,3.42E-05
25900,19823.4,50.52761621,3.45E-05,2.32E-05
26000,19863.8,48.84424224,3.45E-05,2.32E-05
26100,19905.2,47.24997354,3.45E-05,2.32E-05
26200,19938.4,46.3318465,3.45E-05,2.32E-05
26300,19981,47.0701604,3.45E-05,2.32E-05
26400,20024.2,51.85132592,3.45E-05,2.32E-05
26500,20058.2,47.99749993,3.39E-05,2.32E-05
26600,20094,50.73854551,3.39E-05,2.32E-05
26700,20131.6,46.9408138,3.39E-05,2.32E-05
26800,20167,45.02443781,3.25E-05,2.40E-05
26900,20194.4,49.04120716,3.25E-05,2.40E-05
27000,20226.6,51.05918135,3.25E-05,2.40E-05
27100,20254,45.8301211,3.96E-05,3.78E-05
27200,20285.6,48.22281618,4.39E-05,3.62E-05
27300,20331,54.44630382,4.39E-05,3.62E-05
27400,20359.2,51.05056317,4.39E-05,3.62E-05
27500,20397.6,49.20406487,4.39E-05,3.62E-05
27600,20432,44.60044843,4.39E-05,3.62E-05
27700,20459,44.56904756,4.39E-05,3.62E-05
27800,20485,44.12255659,4.39E-05,3.62E-05
27900,20519.8,43.53113828,4.39E-05,3.62E-05
28000,20548,43.62109581,4.33E-05,3.67E-05
28100,20579.8,46.22293803,4.33E-05,3.67E-05
28200,20606.6,47.41139104,4.33E-05,3.67E-05
28300,20631,44.51965858,4.33E-05,3.67E-05
28400,20657.4,38.4322781,4.33E-05,3.67E-05
28500,20683.4,43.6284311,4.33E-05,3.67E-05
28600,20712.2,40.64677109,4.33E-05,3.67E-05
28700,20740.6,43.97089947,4.64E-05,4.28E-05
28800,20769.2,42.02094716,4.64E-05,4.28E-05
28900,20790.4,43.77030957,4.62E-05,4.30E-05
29000,20818.8,42.58826129,4.62E-05,4.30E-05
29100,20849.8,39.94696484,4.62E-05,4.30E-05
29200,20871.4,40.09289214,4.47E-05,4.02E-05
29300,20897.2,40.3256742,4.47E-05,4.02E-05
29400,20922.4,40.1527085,4.47E-05,4.02E-05
29500,20948,40.70380818,4.47E-05,4.02E-05
29600,20972.8,38.93276255,4.47E-05,4.02E-05
29700,21006.2,38.11246515,5.13E-05,3.65E-05
29800,21034.2,38.39479131,4.99E-05,3.38E-05
29900,21056.4,35.94773984,4.99E-05,3.38E-05
30000,21079.4,39.19489763,4.96E-05,3.39E-05
30100,21102.2,40.20646714,4.96E-05,3.39E-05
30200,21126.4,41.14656729,4.96E-05,3.39E-05
30300,21144,42,4.96E-05,3.39E-05
30400,21167.2,43.51735286,5.20E-05,3.35E-05
30500,21191.2,43.07389,5.41E-05,3.36E-05
30600,21212.4,45.84146594,5.41E-05,3.36E-05
30700,21236.4,44.00272719,5.41E-05,3.36E-05
30800,21257.6,38.15022936,5.41E-05,3.36E-05
30900,21277.2,36.9778312,5.41E-05,3.36E-05
31000,21302.6,34.29052347,5.38E-05,3.38E-05
31100,21324.2,33.23492139,6.61E-05,2.97E-05
31200,21343.2,30.55748681,6.55E-05,2.87E-05
31300,21361.8,28.13112156,6.47E-05,2.90E-05
31400,21384.2,27.37444063,6.47E-05,2.90E-05
31500,21406.8,24.45730975,6.47E-05,2.90E-05
31600,21422.8,26.87303481,6.31E-05,3.10E-05
31700,21440.6,26.50735747,6.31E-05,3.10E-05
31800,21458,25.94609797,6.17E-05,3.21E-05
31900,21479,22.02725584,6.17E-05,3.21E-05
32000,21496.8,24.58780186,6.68E-05,2.72E-05
32100,21515.2,26.33932421,6.68E-05,2.72E-05
32200,21537.4,24.52427369,6.68E-05,2.72E-05
32300,21557.8,22.72795635,6.68E-05,2.72E-05
32400,21575.4,21.47184202,6.65E-05,2.71E-05
32500,21595.2,22.03088741,6.65E-05,2.71E-05
32600,21617.4,24.59756085,6.65E-05,2.71E-05
32700,21637.4,26.00461497,6.59E-05,2.75E-05
32800,21653.4,26.21907702,6.02E-05,2.73E-05
32900,21675,26.05379051,5.82E-05,2.35E-05
33000,21694.6,25.8889938,5.77E-05,2.24E-05
33100,21711.6,24.99279896,5.77E-05,2.24E-05
33200,21722.2,23.82771496,5.77E-05,2.24E-05
33300,21736.2,23.35294414,5.62E-05,2.33E-05
33400,21749.4,22.84381754,5.91E-05,2.32E-05
33500,21762.6,22.3660457,5.91E-05,2.32E-05
33600,21781,19.30802942,5.91E-05,2.32E-05
33700,21796.8,18.05990033,5.91E-05,2.32E-05
33800,21812.6,19.05360858,5.91E-05,2.32E-05
33900,21825.6,21.36913662,5.85E-05,2.22E-05
34000,21841.6,18.20549368,5.84E-05,2.24E-05
34100,21859,16.16168308,5.69E-05,2.22E-05
34200,21875.4,18.57525235,6.41E-05,2.10E-05
34300,21890.2,19.9138143,6.41E-05,2.10E-05
34400,21903.2,22.34636436,7.49E-05,2.75E-05
34500,21919.2,21.40467239,7.47E-05,2.76E-05
34600,21933.4,19.58162404,7.47E-05,2.76E-05
34700,21946.6,19.46894964,7.40E-05,2.77E-05
34800,21963.4,18.60752536,7.40E-05,2.77E-05
34900,21977.6,19.67333221,7.86E-05,2.86E-05
35000,21991,19.04730952,8.10E-05,2.73E-05
35100,22001,17.8549713,8.03E-05,2.69E-05
35200,22013.8,18.69117439,8.03E-05,2.69E-05
35300,22023.6,19.15828803,7.66E-05,2.57E-05
35400,22040.6,21.62960934,7.77E-05,2.38E-05
35500,22052.4,18.23842098,7.93E-05,2.49E-05
35600,22066.2,17.3712406,7.93E-05,2.49E-05
35700,22080.6,19.9959996,8.84E-05,3.89E-05
35800,22093,19.88969583,8.84E-05,3.89E-05
35900,22106,17.74260409,9.33E-05,3.77E-05
36000,22116.6,14.00856881,9.27E-05,3.77E-05
36100,22130,13.69671494,9.20E-05,3.78E-05
36200,22142,14.69693846,9.17E-05,3.78E-05
36300,22153.8,13.36263447,9.17E-05,3.78E-05
36400,22164.6,12.48358923,9.17E-05,3.78E-05
36500,22180.4,10.53755189,9.11E-05,3.80E-05
36600,22192,6.164414003,9.04E-05,3.80E-05
36700,22204.6,5.535341011,9.35E-05,3.89E-05
36800,22214.2,5.192301992,9.72E-05,3.85E-05
36900,22224.8,6.675327712,9.72E-05,3.85E-05
37000,22234.8,4.400000002,9.69E-05,3.84E-05
37100,22245.6,6.590902826,9.69E-05,3.84E-05
37200,22255.6,7.445804191,9.69E-05,3.84E-05
37300,22266.8,7.959899501,9.69E-05,3.84E-05
37400,22279,6.723094525,9.65E-05,3.80E-05
37500,22290.6,9.350935785,9.84E-05,3.89E-05
37600,22299.6,10.81850267,0.000100953,3.78E-05
37700,22309.4,7.709734103,0.000100791,3.78E-05
37800,22321.2,9.431860894,0.000100791,3.78E-05
37900,22332.6,13.01691208,0.00010592,3.76E-05
38000,22342.4,12.84678948,0.00010592,3.76E-05
38100,22355,11.98332174,0.00010592,3.76E-05
38200,22364.8,10.57166023,0.00010307,3.44E-05
38300,22371.6,11.48216008,0.000102785,3.42E-05
38400,22384.2,11.58274579,0.000113227,4.87E-05
38500,22395.4,13.41044369,0.000112942,4.82E-05
38600,22405.8,13.24235629,0.000112372,4.73E-05
38700,22418.4,15.09436981,0.000112372,4.73E-05
38800,22426.8,16.43654465,0.000112372,4.73E-05
38900,22435.2,13.42236939,0.000112372,4.73E-05
39000,22442.8,10.88852607,0.000112372,4.73E-05
39100,22453.8,9.987992794,0.00011056,4.76E-05
39200,22458.8,11.80508365,0.000104861,3.91E-05
39300,22469,12.4579292,0.000106523,4.15E-05
39400,22476,14.04279174,0.000106361,4.12E-05
39500,22482.8,15.0119952,0.000116619,2.69E-05
39600,22489.8,14.11949008,0.000115886,2.69E-05
39700,22499.8,12.20491704,0.00011959,2.77E-05
39800,22508,9.818350166,0.000119238,2.78E-05
39900,22517.2,11.070682,0.000119238,2.78E-05
40000,22525,9.570788892,0.000119075,2.63E-05
40100,22536.8,8.182909021,0.00011879,2.62E-05
40200,22543.4,6.529931081,0.000117609,2.62E-05
40300,22550.4,5.782732913,0.000117324,2.62E-05
40400,22561.2,8.863407919,0.000117324,2.62E-05
40500,22568.2,6.794115098,0.000120459,2.71E-05
40600,22575.4,6.887670139,0.000123023,2.46E-05
40700,22582,5.440588206,0.000121721,2.55E-05
40800,22590.4,5.642694384,0.000121395,2.54E-05
40900,22597,5.403702433,0.000121395,2.54E-05
41000,22604.2,7.704544111,0.000120662,2.60E-05
41100,22611.4,6.945502138,0.0001205,2.57E-05
41200,22617.6,8.236504118,0.000119075,2.66E-05
41300,22624,7.56306816,0.000119075,2.66E-05
41400,22633.4,8.867919707,0.000118912,2.65E-05
41500,22639,9.612491871,0.000118912,2.65E-05
41600,22645.2,8.423775874,0.000118912,2.65E-05
41700,22651.6,7.337574533,0.00011881,2.66E-05
41800,22660.4,9.002221943,0.000120825,2.55E-05
41900,22665.6,8.957678274,0.000120377,2.58E-05
42000,22672.4,9.134549794,0.000120615,2.99E-05
42100,22678.8,8.471127437,0.000121965,3.38E-05
42200,22685.6,10.40384545,0.000120092,3.47E-05
42300,22692,10.37304199,0.000121822,3.32E-05
42400,22698.8,8.565045246,0.000121721,3.30E-05
42500,22706.8,11.33843023,0.000121721,3.30E-05
42600,22712.8,10.57166023,0.000121721,3.30E-05
42700,22719.4,10.59433811,0.000121721,3.30E-05
42800,22727,10.82589488,0.00012284,3.19E-05
42900,22734.6,9.046546307,0.000122671,3.20E-05
43000,22740.6,10.5375519,0.000122386,3.15E-05
43100,22746,7.536577473,0.000123648,3.03E-05
43200,22751.8,7.222188036,0.000123648,3.03E-05
43300,22758,9.29516003,0.000122155,3.19E-05
43400,22766,9.01110426,0.00012073,2.94E-05
43500,22771.6,9.024411341,0.000120567,2.96E-05
43600,22780.2,9.495261975,0.000120567,2.96E-05
43700,22785.8,10.53375527,0.00012052,2.96E-05
43800,22791.6,10.61319933,0.000125364,3.21E-05
43900,22797,11.38419958,0.000125364,3.21E-05
44000,22801,11.43678276,0.00012687,3.43E-05
44100,22808,10.88117641,0.00012689,3.43E-05
44200,22814,10.97269338,0.000126218,3.50E-05
44300,22819.4,11.48216007,0.000125485,3.40E-05
44400,22823.8,11.47867588,0.000126625,3.68E-05
44500,22828,11.88276062,0.000125669,3.66E-05
44600,22835,11.91637529,0.000124963,3.60E-05
44700,22839,13.1605471,0.000124793,3.59E-05
44800,22845.6,13.60294086,0.000124793,3.59E-05
44900,22852.6,11.90965995,0.000124244,3.59E-05
45000,22857.2,12.10619676,0.000123627,3.67E-05
45100,22861.2,13.96280774,0.000123199,3.69E-05
45200,22865.4,14.96128336,0.000122914,3.66E-05
45300,22868.6,13.92264343,0.000122914,3.66E-05
45400,22873,12.56980509,0.000122751,3.68E-05
45500,22878.8,12.87478155,0.000121951,3.61E-05
45600,22884.6,13.64697769,0.000121951,3.61E-05
45700,22889.8,15.9298462,0.00012404,3.91E-05
45800,22895.2,14.95860956,0.000125492,3.79E-05
45900,22900,16,0.000125492,3.79E-05
46000,22905,16.40731544,0.000124237,3.73E-05
46100,22909,17.40114939,0.000124237,3.73E-05
46200,22913.6,14.88086019,0.000124237,3.73E-05
46300,22917.4,14.59588983,0.000118538,2.99E-05
46400,22921.8,15.81644714,0.000119698,2.86E-05
46500,22925.2,15.38050714,0.000119698,2.86E-05
46600,22930,14.26884719,0.000119366,2.88E-05
46700,22934.4,14.34712514,0.000119203,2.88E-05
46800,22938.8,15.52288633,0.000118918,2.85E-05
46900,22943.8,15.35447818,0.000119346,2.59E-05
47000,22947.4,15.00133327,0.000121076,2.36E-05
47100,22952.2,14.55197581,0.000122521,2.16E-05
47200,22957.6,15.42206212,0.000122521,2.16E-05
47300,22963.2,14.93184516,0.000122521,2.16E-05
47400,22967.6,14.55472432,0.000122521,2.16E-05
47500,22972.6,14.41665704,0.000122521,2.16E-05
47600,22976,15.13935269,0.00014031,5.15E-05
47700,22979,14.46374778,0.000142141,5.06E-05
47800,22982.8,15.30228741,0.000143566,4.90E-05
47900,22986.2,14.64786674,0.000142996,4.89E-05
48000,22990.8,14.03424384,0.000142996,4.89E-05
48100,22994,13.89964028,0.000142426,4.85E-05
48200,22998.8,13.8477435,0.000142264,4.86E-05
48300,23001,13.34166406,0.00014206,4.88E-05
48400,23005,13.31164903,0.000146002,4.58E-05
48500,23008.2,13.33266665,0.000145432,4.58E-05
48600,23010.4,13.36562755,0.000143437,4.69E-05
48700,23013.4,12.33855745,0.000142827,4.72E-05
48800,23017.2,11.47867588,0.000142725,4.70E-05
48900,23021.8,13.42236939,0.00014419,5.04E-05
49000,23025.4,13.64697768,0.000143804,4.96E-05
49100,23028.8,14.7566934,0.000143804,4.96E-05
49200,23031.8,14.57943758,0.000143166,4.99E-05
49300,23036,13.89964028,0.000143064,4.97E-05
49400,23039.4,15.29182788,0.000142779,4.92E-05
49500,23044.4,16.37803407,0.000142426,4.92E-05
49600,23048,15.70986951,0.000142264,4.92E-05
49700,23051.6,15.73022568,0.000146945,4.75E-05
49800,23055.4,15.78100123,0.000148207,4.79E-05
49900,23057.8,16.1666323,0.000148044,4.80E-05
50000,23060.8,16.21604144,0.000148044,4.80E-05
50100,23064.8,16.86890631,0.000148044,4.80E-05
50200,23068.6,16.91862879,0.000149754,4.64E-05
50300,23071.4,17.74936618,0.000149184,4.53E-05
50400,23074.4,16.75231327,0.000148614,4.43E-05
50500,23078.6,15.44797722,0.000149842,4.69E-05
50600,23082,15.6332978,0.00014968,4.66E-05
50700,23084.4,15.99499922,0.00014797,4.69E-05
50800,23086.2,15.96746692,0.00014989,4.69E-05
50900,23087.8,16.54569431,0.00014989,4.69E-05
51000,23091.8,17.46310396,0.00014989,4.69E-05
51100,23094.6,17.48828179,0.000150507,4.61E-05
51200,23099,18.34121043,0.000149937,4.50E-05
51300,23101,17.94435844,0.000149869,4.50E-05
51400,23104.4,18.81063529,0.000151246,4.39E-05
51500,23106.6,18.38042437,0.000152013,4.39E-05
51600,23110.6,19.60204071,0.00015415,4.17E-05
51700,23112.2,19.14575671,0.000157692,3.87E-05
51800,23115.8,18.41086636,0.000157488,3.89E-05
51900,23118.6,17.68162889,0.000156755,3.93E-05
52000,23120.8,18.30191247,0.000159035,3.92E-05
52100,23123.2,17.3712406,0.000160928,3.76E-05
52200,23126.6,16.82379268,0.000160643,3.79E-05
52300,23128.2,16.55777763,0.000160195,3.78E-05
52400,23131,15.98749511,0.000160093,3.78E-05
52500,23133.2,15.9172862,0.000160093,3.78E-05
52600,23134.8,14.98532616,0.000160025,3.79E-05
52700,23136.2,14.4,0.000159978,3.79E-05
52800,23139.6,13.92264343,0.000159978,3.79E-05
52900,23141,13.66747965,0.000159815,3.81E-05
53000,23143,14.01427843,0.000161266,3.69E-05
53100,23145.6,14.13647764,0.000160914,3.63E-05
53200,23147,14.66969666,0.000160798,3.62E-05
53300,23149.8,14.06271667,0.00016244,3.62E-05
53400,23150.6,14.67787451,0.000162209,3.62E-05
53500,23153.4,14.60958589,0.000160418,3.32E-05
53600,23154.4,14.20704051,0.000160418,3.32E-05
53700,23155.8,13.16662447,0.000159638,3.35E-05
53800,23158,12.6015872,0.000160235,3.59E-05
53900,23159.6,12.61110622,0.000164712,3.20E-05
54000,23161.4,12.76871176,0.000165507,3.22E-05
54100,23162,12.79062157,0.000167501,3.10E-05
54200,23165.6,12.6269553,0.000171029,3.83E-05
54300,23166,12.64911064,0.000170724,3.83E-05
54400,23166.2,12.57616794,0.000170398,3.85E-05
54500,23168.8,12.92130025,0.000172115,3.76E-05
54600,23170.4,12.75303885,0.000173261,4.04E-05
54700,23172.4,12.65859391,0.000174829,4.48E-05
54800,23175.8,12.27028932,0.000174829,4.48E-05
54900,23176.2,12.25397894,0.000174666,4.48E-05
55000,23178,12.83744523,0.000174666,4.48E-05
55100,23180.2,13.36263447,0.000174462,4.48E-05
55200,23182.2,13.22724461,0.000175839,4.43E-05
