EDGES=66626, ITERATIONS=5,DATE=2018-03-16 14:27Number of edges,,
,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2,0,0,0
100,2.8,0.4,0,0
200,3.2,0.4,0,0
300,3.2,0.4,0,0
400,3.2,0.4,0,0
500,3.4,0.489897949,0,0
600,3.6,0.489897949,0,0
700,4,0.632455532,0,0
800,4.4,0.489897949,0,0
900,4.4,0.489897949,0,0
1000,4.6,0.489897949,0,0
1100,4.6,0.489897949,0,0
1200,4.8,0.4,0,0
1300,5,0.632455532,0,0
1400,5,0.632455532,0,0
1500,5.4,0.8,0,0
1600,5.8,0.979795897,0,0
1700,6.4,0.8,0,0
1800,6.4,0.8,0,0
1900,6.8,0.4,0,0
2000,6.8,0.4,0,0
2100,6.8,0.4,0,0
2200,7.2,0.4,0,0
2300,7.2,0.4,0,0
2400,7.2,0.4,0,0
2500,7.2,0.4,0,0
2600,7.4,0.8,0,0
2700,7.4,0.8,0,0
2800,7.8,0.748331477,0,0
2900,8.2,1.166190379,0,0
3000,8.2,1.166190379,0,0
3100,8.8,1.166190379,0,0
3200,9.2,0.748331477,0,0
3300,9.4,0.489897949,0,0
3400,9.4,0.489897949,0,0
3500,9.8,0.748331477,0,0
3600,10,0.894427191,0,0
3700,10.2,0.748331477,0,0
3800,10.4,1.019803903,0,0
3900,10.6,1.019803903,0,0
4000,11,0.894427191,0,0
4100,11.8,0.979795897,0,0
4200,11.8,0.979795897,0,0
4300,12,1.264911064,0,0
4400,12.2,1.6,0,0
4500,12.4,1.356465997,0,0
4600,12.6,1.356465997,0,0
4700,12.8,1.326649916,0,0
4800,13,1.095445115,0,0
4900,13.4,1.019803903,0,0
5000,14.2,1.469693846,0,0
5100,15,2.097617696,0,0
5200,15.4,2.244994432,0,0
5300,16.4,2.576819745,0,0
5400,16.8,2.638181192,0,0
5500,18.4,2.576819745,0,0
5600,18.8,2.4,0,0
5700,19.2,2.4,0,0
5800,21,3.847076812,0,0
5900,21.2,3.867815921,0,0
6000,21.8,3.709447398,0,0
6100,22.2,3.310589071,0,0
6200,22.6,3.006659276,0,0
6300,22.8,3.059411708,0,0
6400,23.2,2.925747768,0,0
6500,24,2.607680962,0,0
6600,24,2.607680962,0,0
6700,24,2.607680962,0,0
6800,24.8,2.4,0,0
6900,27.6,3.440930107,0,0
7000,29.4,3.440930107,0,0
7100,31.2,3.487119155,0,0
7200,31.4,3.666060556,0,0
7300,31.8,3.18747549,0,0
7400,32.4,2.416609195,0,0
7500,33.2,3.310589071,0,0
7600,34.6,4.498888752,0,0
7700,36.4,6.468384652,0,0
7800,37,7.483314774,0,0
7900,39.2,7.138627319,0,0
8000,43.8,13.90539464,0,0
8100,46.2,14.95860956,0,0
8200,46.2,14.95860956,0,0
8300,47.4,14.23516772,0,0
8400,51,11.26055061,0,0
8500,51.4,10.96540013,0,0
8600,52.2,10.53375527,0,0
8700,56,7.874007874,0,0
8800,56.4,8.639444427,0,0
8900,56.6,8.616263691,0,0
9000,59.6,12.2898332,0,0
9100,63.2,11.14271062,0,0
9200,63.8,10.70327053,0,0
9300,66.8,11.95658814,0,0
9400,71,11.62755348,0,0
9500,73.6,15.16047493,0,0
9600,77,12.08304597,0,0
9700,85,15.03329638,0,0
9800,92,11.54123044,0,0
9900,104,14.96662955,0,0
10000,107.4,11.53429668,0,0
10100,108.8,11.95658814,1.99E-05,3.99E-05
10200,118.4,6.1514226,1.99E-05,3.99E-05
10300,128.2,13.61469794,1.99E-05,3.99E-05
10400,133,16.57709263,2.71E-05,3.89E-05
10500,134.4,15.55120574,2.71E-05,3.89E-05
10600,144.4,10.34601373,2.71E-05,3.89E-05
10700,147,11.67904106,2.71E-05,3.89E-05
10800,186.6,29.57431318,2.71E-05,3.89E-05
10900,234,50.43014971,2.71E-05,3.89E-05
11000,242.4,55.00036364,2.71E-05,3.89E-05
11100,315.8,92.33937405,2.71E-05,3.89E-05
11200,358.2,70.47098694,2.71E-05,3.89E-05
11300,368.2,74.30047106,2.71E-05,3.89E-05
