EDGES=66626, ITERATIONS=5,DATE=2018-03-12 14:45Number of edges,,
,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
12000,1276.2,783.6135272,1.85E-05,3.70E-05
11000,220,55.02363129,1.85E-05,3.70E-05
10000,122.2,52.21264215,1.85E-05,3.70E-05
9000,66,15.16575089,0,0
8000,41.4,7.310266753,0,0
7000,32,9.423375192,0,0
6000,20.8,5.979966555,0,0
5000,15.8,3.249615362,0,0
4000,12.2,1.939071943,0,0
3000,9,1.788854382,0,0
2000,7.2,1.469693846,0,0
1000,4.6,1.2,0,0
0,1,0,0,0
