MESSAGES=66626, DATE=2018-04-18 12:29, STEPSIZE=random, ORDER=50, ITERATIONS=2
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
50,2.5,0.5,0.0,0.0
100,2.5,0.5,0.0,0.0
150,2.5,0.5,0.0,0.0
200,2.5,0.5,0.0,0.0
250,2.5,0.5,0.0,0.0
300,3.5,0.5,0.0,0.0
350,3.5,0.5,0.0,0.0
400,3.5,0.5,0.0,0.0
450,3.5,0.5,0.0,0.0
500,4.0,1.0,0.0,0.0
550,4.0,1.0,0.0,0.0
600,4.0,1.0,0.0,0.0
650,4.5,1.5,0.0,0.0
700,5.5,1.5,0.0,0.0
750,5.5,1.5,0.0,0.0
800,6.0,2.0,0.0,0.0
850,6.0,2.0,0.0,0.0
900,6.0,2.0,0.0,0.0
950,6.5,1.5,0.0,0.0
1000,7.0,2.0,0.0,0.0
1050,10.5,5.5,0.0,0.0
1100,11.5,6.5,0.0,0.0
1150,11.5,6.5,0.0,0.0
1200,11.5,6.5,0.0,0.0
1250,12.0,7.0,0.0,0.0
1300,12.0,7.0,2.7070154442354816e-05,2.7070154442354816e-05
1350,12.0,7.0,5.414030888470963e-05,5.414030888470963e-05
1400,12.0,7.0,0.00011825383256397105,0.00011825383256397105
1450,12.5,6.5,0.00011825383256397105,0.00011825383256397105
1500,12.5,6.5,0.00011825383256397105,0.00011825383256397105
1550,13.0,6.0,0.00011825383256397105,0.00011825383256397105
1600,13.0,6.0,0.00011825383256397105,0.00011825383256397105
1650,13.0,6.0,0.00011825383256397105,0.00011825383256397105
1700,13.5,6.5,0.00011825383256397105,0.00011825383256397105
1750,13.5,6.5,0.00011825383256397105,0.00011825383256397105
1800,13.5,6.5,0.00011825383256397105,0.00011825383256397105
1850,14.0,6.0,0.00018236735624323246,0.00018236735624323246
1900,14.0,6.0,0.00018236735624323246,0.00018236735624323246
1950,15.5,7.5,0.00016811990653672993,0.00016811990653672993
2000,16.0,8.0,0.00016811990653672993,0.00016811990653672993
2050,16.5,8.5,0.00016811990653672993,0.00016811990653672993
2100,17.0,8.0,0.00016811990653672993,0.00016811990653672993
2150,17.0,8.0,0.00016811990653672993,0.00016811990653672993
2200,18.0,7.0,0.00016811990653672993,0.00016811990653672993
2250,18.0,7.0,0.00016811990653672993,0.00016811990653672993
2300,18.0,7.0,0.00021442411808286315,0.00021442411808286315
2350,18.5,7.5,0.00021442411808286315,0.00021442411808286315
2400,19.0,8.0,0.00021371174559753803,0.00021371174559753803
2450,19.0,8.0,0.00021371174559753803,0.00021371174559753803
2500,19.5,8.5,0.0002635778195702969,0.00016384567162477915
2550,20.0,9.0,0.0002635778195702969,0.00016384567162477915
2600,24.5,13.5,0.0002635778195702969,0.00016384567162477915
2650,25.0,13.0,0.00029705932638057785,0.00019732717843506012
2700,25.0,13.0,0.00029705932638057785,0.00019732717843506012
2750,25.0,13.0,0.00036046047757451417,0.0002607283296289964
2800,26.0,12.0,0.00036046047757451417,0.0002607283296289964
2850,27.0,11.0,0.00040676468912064737,0.00030703254117512955
2900,27.0,11.0,0.00040676468912064737,0.00030703254117512955
2950,27.0,11.0,0.00044238331338690374,0.00034265116544138593
3000,28.5,12.5,0.0005006960896856604,0.00040096394174014274
3050,28.5,12.5,0.0005006960896856604,0.00040096394174014274
3100,52.0,32.0,0.0005327528515252912,0.0004330207035797734
3150,52.5,32.5,0.0005633848683942716,0.0004636527204487539
3200,53.0,33.0,0.0005811941805273999,0.00048146203258188217
3250,53.0,33.0,0.0005811941805273999,0.00048146203258188217
3300,63.0,42.0,0.0005811941805273999,0.00048146203258188217
3350,63.0,42.0,0.0006310602545001588,0.000531328106554641
3400,63.5,42.5,0.0006310602545001588,0.000531328106554641
3450,66.5,40.5,0.0006274983920735332,0.0005277662441280154
3500,69.0,39.0,0.0006349274194204952,0.0005351952714749774
3550,69.5,39.5,0.0006605728288921998,0.0005095498620032728
3600,72.0,42.0,0.0006605728288921998,0.0005095498620032728
3650,72.5,42.5,0.0006605728288921998,0.0005095498620032728
3700,76.5,38.5,0.0006605728288921998,0.0005095498620032728
3750,79.0,37.0,0.0006441882617297218,0.0004931652948407947
3800,81.0,37.0,0.0006940543357024807,0.0005430313688135536
3850,83.0,39.0,0.0007439204096752396,0.0005216601942538001
3900,98.5,54.5,0.0007866627587947471,0.0005644025433733076
3950,102.0,58.0,0.0007831008963681214,0.000560840680946682
4000,131.0,87.0,0.0007823885238827963,0.0005601283084613567
4050,131.5,86.5,0.0007823885238827963,0.0005601283084613567
4100,136.0,91.0,0.0007681410741762938,0.0005743757581678592
4150,136.0,91.0,0.0007681410741762938,0.0005743757581678592
4200,136.5,90.5,0.0007645792117496681,0.0005708138957412334
4250,138.0,92.0,0.0007645792117496681,0.0005708138957412334
4300,143.5,97.5,0.0007645792117496681,0.0005708138957412334
4350,144.0,98.0,0.0007641721417580538,0.0005704068257496193
4400,144.5,98.5,0.0007641721417580538,0.0005704068257496193
4450,145.5,99.5,0.0007641721417580538,0.0005704068257496193
4500,172.0,126.0,0.000799536347279551,0.0006057710312711164
4550,174.5,128.5,0.0008244693842659306,0.0006307040682574962
4600,181.0,135.0,0.000810221934559428,0.0006164566185509936
4650,182.5,136.5,0.0008085936545929706,0.0006148283385845359
4700,183.5,137.5,0.0008050317921663451,0.0006112664761579106
4750,185.0,138.0,0.0008043194196810199,0.0006119788486432359
4800,187.0,139.0,0.0008043194196810199,0.0006119788486432359
4850,188.5,140.5,0.0008541854936537787,0.0006618449226159945
4900,195.0,146.0,0.0008541854936537787,0.0006618449226159945
4950,202.5,152.5,0.0008539310749090198,0.0006615905038712357
5000,207.0,157.0,0.0008525063299383694,0.0006601657589005854
5050,207.0,157.0,0.0008525063299383694,0.0006601657589005854
5100,212.0,162.0,0.0008489444675117439,0.0006566038964739597
5150,213.0,163.0,0.0008489444675117439,0.0006566038964739597
5200,218.5,166.5,0.0009482695454656476,0.0007559289744278636
5250,220.0,168.0,0.0009713707674897625,0.0007790301964519784
5300,288.0,236.0,0.001023373958918497,0.000831033387880713
5350,290.5,238.5,0.0010589925831847534,0.0007954147636144564
5400,292.0,240.0,0.0011103342858771142,0.0008467564663068174
5450,306.0,254.0,0.0010960868361706117,0.0008325090166003148
5500,322.5,270.5,0.0010953235799363347,0.0008317457603660378
5550,329.0,277.0,0.0011747022283011344,0.0009111244087308377
5600,333.0,279.0,0.0011747022283011344,0.0009111244087308377
5650,335.5,281.5,0.0011804520919326872,0.0009168742723623905
5700,347.5,293.5,0.0011804520919326872,0.0009168742723623905
5750,356.5,302.5,0.0011982614040658155,0.0009346835844955188
5800,366.5,312.5,0.001184013954359313,0.0009204361347890163
5850,378.0,324.0,0.001183844341862807,0.0009202665222925103
5900,412.0,358.0,0.00118308108562853,0.0009195032660582334
5950,416.0,362.0,0.0012543183341610427,0.0008482660175257206
6000,420.0,364.0,0.0014074614572562943,0.0010014091406209719
6050,433.0,377.0,0.0014135274169040626,0.0010074751002687404
6100,437.0,377.0,0.0014455841787436934,0.001039531862108371
6150,439.5,379.5,0.0014420223163170679,0.0010430937245349968
6200,442.0,380.0,0.0014719419607007232,0.0010131740801513412
6250,442.5,380.5,0.0014719419607007232,0.0010131740801513412
6300,492.5,429.5,0.0014790656855539744,0.0010202978050045924
6350,496.0,433.0,0.0015028237705191033,0.0010440558899697215
6400,522.5,459.5,0.0015626291367871127,0.001103861256237731
6450,525.5,461.5,0.0015612043918164624,0.0011024365112670806
6500,533.0,469.0,0.001558354901875162,0.00109958702132578
6550,540.5,476.5,0.0015512311770219107,0.0010924632964725287
6600,544.5,480.5,0.0016160061894375452,0.0011086952123881516
6650,551.0,487.0,0.0016260302879810488,0.001118719310931655
6700,559.0,495.0,0.0016244359305138925,0.0011171249534644991
6750,564.5,497.5,0.0016173122056606414,0.0011100012286112473
6800,579.5,512.5,0.0016522184574415725,0.001173402379805184
6850,582.0,515.0,0.0016842752192812033,0.001141345617965553
6900,584.5,517.5,0.0016778638669132768,0.0011377837555389273
6950,588.5,521.5,0.0016743020044866514,0.001134221893112302
7000,594.5,525.5,0.0016814766130888545,0.0011413965017145048
7050,616.0,516.0,0.0016663980621494723,0.001126317950775123
7100,621.0,521.0,0.001723744047218145,0.0011836639358437954
7150,625.0,523.0,0.0017233369772265308,0.0011832568658521816
7200,628.0,525.0,0.0017162132523732792,0.00117613314099893
7250,639.0,535.0,0.001716013987342419,0.0011759338759680694
7300,655.0,551.0,0.001716013987342419,0.0011759338759680694
7350,657.5,553.5,0.0017063460750415783,0.001166265963667229
7400,661.0,557.0,0.0017533626590730367,0.0012132825476986872
7450,671.5,566.5,0.001881369210186102,0.0012902018148641503
7500,674.5,569.5,0.0019067093171640957,0.0013511605461084004
7550,680.0,573.0,0.0019686857233873816,0.001415986442272987
