EDGES=66626, DATE=2018-03-12 18:28,, STEPSIZE=100,
Number of edges,Largest component size,,Average Clustering Coefficient,
20500,6482,0,0.012968748,0
20600,6502,0,0.013251153,0
20700,6534,0,0.013478041,0
20800,6569,0,0.013481975,0
20900,6606,0,0.013400764,0
21000,6642,0,0.013585337,0
21100,6677,0,0.013563232,0
21200,6708,0,0.013808793,0
21300,6733,0,0.013945092,0
21400,6794,0,0.013924294,0
21500,6824,0,0.014326055,0
21600,6847,0,0.014455758,0
21700,6883,0,0.014577056,0
21800,6967,0,0.014556746,0
21900,7059,0,0.014609964,0
22000,7113,0,0.014621362,0
22100,7164,0,0.014733479,0
22200,7214,0,0.014785677,0
22300,7241,0,0.014761985,0
22400,7271,0,0.014895606,0
22500,7302,0,0.01495826,0
22600,7320,0,0.015043958,0
22700,7345,0,0.015052445,0
22800,7376,0,0.015237452,0
22900,7408,0,0.015390705,0
23000,7444,0,0.015729731,0
23100,7492,0,0.015888357,0
23200,7518,0,0.015860948,0
23300,7571,0,0.01601213,0
23400,7616,0,0.016105965,0
23500,7653,0,0.016128389,0
23600,7680,0,0.016443621,0
23700,7735,0,0.016439628,0
23800,7766,0,0.016463593,0
23900,7807,0,0.016479927,0
24000,7855,0,0.016395897,0
24100,7891,0,0.016489691,0
24200,7918,0,0.016501089,0
24300,7951,0,0.016485417,0
24400,7988,0,0.016627321,0
24500,8031,0,0.016713218,0
24600,8065,0,0.016748735,0
24700,8096,0,0.016771972,0
24800,8116,0,0.017006472,0
24900,8143,0,0.01703778,0
25000,8179,0,0.017034218,0
25100,8208,0,0.017017731,0
25200,8292,0,0.017176861,0
25300,8320,0,0.017421572,0
25400,8350,0,0.017443361,0
25500,8391,0,0.017405062,0
25600,8409,0,0.017427981,0
25700,8437,0,0.017503182,0
25800,8485,0,0.017549828,0
25900,8509,0,0.017589298,0
26000,8532,0,0.017617013,0
26100,8554,0,0.017767049,0
26200,8603,0,0.017897567,0
26300,8640,0,0.017876962,0
26400,8675,0,0.017839078,0
26500,8716,0,0.017879887,0
26600,8731,0,0.018023413,0
26700,8767,0,0.018024193,0
26800,8794,0,0.018216858,0
26900,8819,0,0.018312258,0
27000,8859,0,0.018428386,0
27100,8904,0,0.018671049,0
27200,8929,0,0.0187503,0
27300,8965,0,0.018873705,0
27400,8993,0,0.018955997,0
27500,9022,0,0.018994844,0
27600,9058,0,0.019096555,0
27700,9085,0,0.019185175,0
27800,9115,0,0.019316865,0
27900,9131,0,0.019400431,0
28000,9170,0,0.019469519,0
28100,9192,0,0.01951579,0
28200,9259,0,0.019614511,0
28300,9289,0,0.019768796,0
28400,9310,0,0.019899878,0
28500,9334,0,0.019947607,0
28600,9377,0,0.02005857,0
28700,9394,0,0.020013554,0
28800,9429,0,0.01998991,0
28900,9454,0,0.019955461,0
29000,9489,0,0.020106119,0
29100,9517,0,0.020216028,0
29200,9534,0,0.020482106,0
29300,9568,0,0.020488836,0
29400,9593,0,0.020470823,0
29500,9632,0,0.020469406,0
29600,9679,0,0.020473486,0
29700,9706,0,0.020527734,0
29800,9724,0,0.020526072,0
29900,9764,0,0.020636265,0
30000,9796,0,0.020559552,0
30100,9824,0,0.020786081,0
30200,9864,0,0.020818929,0
30300,9893,0,0.020877738,0
30400,9928,0,0.021006881,0
30500,9968,0,0.021086798,0
30600,9992,0,0.021082779,0
30700,10015,0,0.021190935,0
30800,10027,0,0.021184601,0
30900,10040,0,0.021402527,0
31000,10073,0,0.021529431,0
31100,10106,0,0.021707239,0
31200,10147,0,0.021727483,0
31300,10164,0,0.021696995,0
31400,10190,0,0.021695929,0
31500,10209,0,0.021664874,0
31600,10240,0,0.021756193,0
31700,10286,0,0.021788414,0
31800,10313,0,0.021847177,0
31900,10351,0,0.021821156,0
32000,10373,0,0.021821911,0
32100,10397,0,0.021915227,0
32200,10436,0,0.021986563,0
32300,10471,0,0.022060934,0
32400,10510,0,0.022087724,0
32500,10547,0,0.022232798,0
32600,10576,0,0.022328823,0
32700,10615,0,0.022465651,0
32800,10666,0,0.022562552,0
32900,10707,0,0.022529739,0
33000,10781,0,0.022505699,0
33100,10808,0,0.022707397,0
33200,10826,0,0.023005359,0
33300,10861,0,0.023158728,0
33400,10887,0,0.02317614,0
33500,10932,0,0.023217408,0
