EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
6500,3354.55,219.4028259,8.21E-06,4.20E-05
6550,3410.1,216.2524451,8.21E-06,4.20E-05
6600,3463.45,215.8569897,8.21E-06,4.20E-05
6650,3516.1,212.022263,8.21E-06,4.20E-05
6700,3564.3,209.5582019,8.21E-06,4.20E-05
6750,3622.75,224.8887725,8.21E-06,4.20E-05
6800,3687.4,207.5001687,9.33E-06,4.97E-05
6850,3750.95,198.3100603,9.29E-06,4.94E-05
6900,3821.45,181.6187215,1.00E-05,4.89E-05
6950,3883,175.812855,1.45E-05,5.60E-05
7000,3938.45,165.7262804,1.45E-05,5.59E-05
7050,3994.8,144.8919597,1.45E-05,5.59E-05
7100,4054.7,138.1529587,1.45E-05,5.59E-05
7150,4104.75,139.6922331,1.45E-05,5.59E-05
7200,4159.65,144.1704547,1.45E-05,5.59E-05
7250,4198.6,132.7536064,1.45E-05,5.59E-05
7300,4240.85,127.977498,1.45E-05,5.59E-05
7350,4286.7,137.6778849,1.45E-05,5.59E-05
7400,4340.9,142.1694763,1.45E-05,5.59E-05
7450,4398.1,140.5645759,1.45E-05,5.59E-05
7500,4456,136.5717394,1.45E-05,5.59E-05
7550,4492.5,137.7734372,1.45E-05,5.59E-05
7600,4556.25,128.9759668,1.45E-05,5.59E-05
7650,4608.65,115.3724404,1.45E-05,5.59E-05
7700,4657.95,122.5809121,1.45E-05,5.59E-05
7750,4709.7,121.842193,1.45E-05,5.59E-05
7800,4746.45,128.6129076,1.45E-05,5.59E-05
7850,4796.65,126.1919173,1.45E-05,5.59E-05
7900,4846.55,125.0804541,1.31E-05,5.13E-05
7950,4895.1,135.1766252,1.31E-05,5.13E-05
8000,4950.7,132.2071102,1.31E-05,5.13E-05
8050,4994.15,132.7704786,1.31E-05,5.14E-05
8100,5038.5,134.2141572,1.31E-05,5.14E-05
8150,5083.85,137.3852976,1.31E-05,5.14E-05
8200,5131.75,135.1049962,1.31E-05,5.14E-05
8250,5181.5,123.8366666,1.31E-05,5.14E-05
8300,5223.9,121.8612326,1.31E-05,5.14E-05
8350,5270.6,121.899959,1.31E-05,5.14E-05
8400,5326.15,106.4909386,1.30E-05,5.14E-05
8450,5380.45,106.7745288,1.30E-05,5.14E-05
8500,5426.55,120.3312096,1.30E-05,5.14E-05
8550,5477.6,116.3422537,1.30E-05,5.14E-05
8600,5523.4,123.239604,1.30E-05,5.14E-05
8650,5574.05,119.6123739,1.55E-05,5.50E-05
8700,5626.65,128.1920434,1.51E-05,5.49E-05
8750,5685.5,152.5209494,1.51E-05,5.49E-05
8800,5739.75,149.2956798,1.51E-05,5.49E-05
8850,5786.8,152.1262633,1.51E-05,5.49E-05
8900,5834.3,155.3751589,1.51E-05,5.49E-05
8950,5882.65,154.5121354,1.51E-05,5.49E-05
