EDGES=66626.0, ITERATIONS=20,DATE=2018-03-13 03:08
Number of edges,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
13100,9647.3,69.32971945720179,1.9114830696515617e-05,2.4703706117503675e-05
13200,9730.15,73.25863430340888,1.9110916561980862e-05,2.4694085669078732e-05
13300,9808.5,70.51560111069735,1.9104440448477907e-05,2.4693242948295605e-05
13400,9890.6,67.28328172727349,2.1288698481068398e-05,2.5054226005196343e-05
13500,9971.6,72.3846668845803,1.9863953510418147e-05,2.439138792052811e-05
13600,10052.9,66.69175361322085,1.9863349301274587e-05,2.439172138730332e-05
13700,10134.35,66.69878184788426,2.0077582931476758e-05,2.466975090053665e-05
13800,10216.35,74.23898908252076,2.075222534078294e-05,2.43398534646332e-05
13900,10299.0,73.74211822293933,2.296681806638559e-05,2.436617609185876e-05
14000,10370.5,74.81209795209622,2.32400540523959e-05,2.418039229602684e-05
14100,10451.7,76.89999999989924,2.659853149015285e-05,2.5803871089475203e-05
14200,10532.5,78.16233108086043,2.659853149015285e-05,2.5803871089475203e-05
14300,10606.85,74.87875199270948,2.659853149015285e-05,2.5803871089475203e-05
14400,10688.1,71.68884153054543,2.659853149015285e-05,2.5803871089475203e-05
14500,10766.5,70.13522652706683,2.6595987302705264e-05,2.5805563403477034e-05
14600,10844.25,68.55499617091405,2.6427871387050803e-05,2.5681695400159575e-05
14700,10918.15,71.75114981661658,2.6955592051102363e-05,2.5460050954945802e-05
14800,10993.3,70.21616622984543,2.738964584897904e-05,2.5215222754848873e-05
14900,11065.35,71.1851634822917,2.734684363662547e-05,2.5190538652002255e-05
15000,11131.85,71.87369129233377,2.8757519740906416e-05,2.5434713400361674e-05
15100,11195.9,70.13337294050898,2.9050312353653164e-05,2.5410917192501496e-05
15200,11261.0,69.768187592871,3.305768928940069e-05,2.852984006233645e-05
15300,11330.4,72.05026023554348,3.592214800453802e-05,2.706402503675388e-05
15400,11403.35,70.29457660435615,3.590518675488742e-05,2.704830749434955e-05
15500,11474.95,68.53282060434609,3.5900205129115915e-05,2.704749824666418e-05
15600,11550.5,69.1827290586314,3.603941233400237e-05,2.747822206229896e-05
15700,11621.6,67.62943146300682,3.603941233400237e-05,2.747822206229896e-05
15800,11695.75,69.56067495359717,3.6940014466141666e-05,2.8094828037293567e-05
15900,11763.55,72.04753639088865,3.6938992295504735e-05,2.809515359841559e-05
16000,11838.55,72.06488395880773,3.693331680042934e-05,2.8088076724245226e-05
16100,11908.9,68.9441077977042,3.767682007697921e-05,2.9117326371728758e-05
16200,11976.0,66.88497589140658,3.767270639833092e-05,2.9116797522932362e-05
16300,12044.3,68.38501297813919,3.7594993036295446e-05,2.900124179920827e-05
16400,12112.25,71.77734670501495,3.75948241476076e-05,2.9001074670646144e-05
16500,12179.9,71.29088300768547,3.773455809909251e-05,2.8890564515220305e-05
16600,12250.0,72.01111025386318,3.9105106290905316e-05,2.9472467402017638e-05
16700,12320.0,67.89698078707183,3.9015520054114435e-05,2.9353197105672497e-05
16800,12385.4,68.04513208169631,3.898833216864509e-05,2.9373952067378106e-05
16900,12452.3,68.17484873472316,3.937729109680907e-05,2.8989032311317633e-05
17000,12517.1,64.73940067684914,3.951155057844317e-05,2.8519757146250274e-05
17100,12578.55,63.12960874262111,3.9493667206261576e-05,2.844159861522747e-05
17200,12639.1,60.95317875215086,3.934823360699341e-05,2.7320761717991124e-05
17300,12702.75,62.684826712595125,4.022289054511718e-05,2.8064475244216e-05
17400,12760.35,63.445468711214474,4.021704909671459e-05,2.806230633721433e-05
17500,12824.85,63.44468062802157,4.0297050766819104e-05,2.8017652105983442e-05
17600,12891.8,62.18488562350456,4.0277724051839997e-05,2.8032171765502573e-05
17700,12958.35,56.87642305920386,4.027759039846564e-05,2.8031942097310204e-05
17800,13021.15,56.125996650372414,4.0277446193509096e-05,2.803188093114155e-05
17900,13084.5,53.67448183250658,4.035990970024143e-05,2.8150996748932225e-05
18000,13146.2,55.77956615091679,4.0681175117131935e-05,2.8671663127360688e-05
18100,13210.35,56.31986772009978,4.060455340901756e-05,2.8630952119446106e-05
18200,13270.15,55.29039247494431,4.085072772724568e-05,2.868194772710829e-05
18300,13331.25,53.54052203710719,4.138039921192266e-05,2.8343403662379628e-05
18400,13392.6,51.46493952183073,4.135952684325649e-05,2.8353780008645945e-05
18500,13455.15,52.19892240287588,4.135428033829272e-05,2.835304637456733e-05
18600,13517.45,54.05781627084637,4.132883846381682e-05,2.8332505464710244e-05
18700,13582.9,57.75023809477825,4.180194188097105e-05,2.8533936169945055e-05
18800,13646.2,56.21085304428871,4.648722778528604e-05,3.1831658739852746e-05
18900,13706.8,55.7499775787595,4.6855913883969115e-05,3.187844273349543e-05
19000,13762.25,58.055038540923206,4.662269670127339e-05,3.190329835923101e-05
19100,13823.05,56.55305031589531,4.65050473059697e-05,3.175563491784824e-05
19200,13881.5,56.92055867600106,4.646390540297107e-05,3.1736287753285896e-05
19300,13939.55,54.412751262938215,4.6376307446641616e-05,3.174819634739413e-05
19400,13998.05,56.65198584357185,4.632678952830751e-05,3.1734468480828835e-05
19500,14059.45,56.726074251585786,4.632678952830751e-05,3.1734468480828835e-05
19600,14121.4,53.79442350312325,4.6408591486118284e-05,3.102396572259242e-05
19700,14180.1,53.775366107462766,4.622608519554173e-05,3.117966565803073e-05
19800,14237.8,54.23061865808048,4.687724298894606e-05,3.2158312690194924e-05
19900,14297.65,57.178033369603554,4.7588494320289406e-05,3.257666881878578e-05
20000,14356.8,59.715659587819545,5.079417050425247e-05,3.992696732443903e-05
20100,14419.6,62.21527143724069,5.142326295762521e-05,4.045660048768612e-05
20200,14478.65,63.84142463966055,5.139655788518583e-05,4.0583535873992926e-05
20300,14534.2,63.47881536365169,5.159193952578554e-05,4.051205025123348e-05
20400,14588.5,64.89106255867628,5.2841541752564987e-05,4.021364603517253e-05
20500,14643.45,63.601474039353384,5.378084854150113e-05,4.152235921888919e-05
20600,14701.0,58.749468082698414,5.4153081124133725e-05,4.1100140399734295e-05
20700,14753.85,59.24464110769627,5.646161395070383e-05,4.588604525668283e-05
20800,14808.7,58.63028227768191,5.6436047969523156e-05,4.5904274069106825e-05
20900,14860.75,57.275540154693616,5.6435695715974235e-05,4.590399712799971e-05
21000,14918.4,59.53687932689868,5.9618913877330396e-05,4.616160710964117e-05
21100,14973.95,57.01883460733429,6.148776462556671e-05,4.622301222884586e-05
21200,15024.0,55.862330778388035,6.246485450613578e-05,4.662557154180286e-05
21300,15076.15,58.12252145271622,6.55244415623147e-05,5.3397068303437976e-05
21400,15129.75,55.87832764129649,6.550537204325633e-05,5.339904471719456e-05
21500,15185.1,54.418654889529336,6.527993767919205e-05,5.3187357539428075e-05
21600,15233.55,56.19294884599263,6.607570408000154e-05,5.33954347157606e-05
21700,15281.95,55.517091962552776,6.494778349242893e-05,4.927069873417458e-05
21800,15332.25,55.03532956191031,6.493020278844327e-05,4.9284262471869066e-05
21900,15378.3,55.52395879281507,6.790688469869585e-05,5.087701722418515e-05
22000,15431.05,53.545751465530344,6.783445430765951e-05,5.087076751499142e-05
22100,15484.25,52.72843160946511,6.74252655889135e-05,5.007555249365976e-05
22200,15534.25,53.6123819653076,6.733499706428521e-05,5.008405254875875e-05
22300,15585.95,52.08308266585747,6.937956986224863e-05,5.1701702654838534e-05
22400,15636.05,52.97025108489126,7.074664658408684e-05,5.295006656531326e-05
22500,15682.65,53.631404046654396,7.070359586478876e-05,5.276136458621704e-05
22600,15736.45,53.6017490384273,7.085571971092355e-05,5.3137723303012715e-05
22700,15783.35,51.722601442327445,7.169230277045926e-05,5.237203514780566e-05
22800,15836.75,55.71703060993182,7.199564041272031e-05,5.142609697585487e-05
22900,15888.25,53.383400978150874,7.366551123195089e-05,5.0935623857886845e-05
23000,15933.05,53.654892601012875,7.426014191603086e-05,4.989315528096102e-05
23100,15978.95,51.774969821126334,7.290277848357135e-05,5.0283729018395435e-05
23200,16027.4,53.14357910424868,7.510853207231596e-05,4.9954139992674194e-05
23300,16074.0,55.48783650500315,7.536745679780622e-05,4.997300592370277e-05
23400,16121.5,54.748972592990995,7.65355499204064e-05,4.798721720336035e-05
23500,16171.7,57.02464379522753,7.676572029355005e-05,4.7623755739459106e-05
23600,16216.6,61.9228552313087,7.837517489624188e-05,4.896866572861742e-05
23700,16264.4,65.55638794210292,8.085604520651731e-05,4.733547552936086e-05
23800,16310.85,66.71752018744291,8.446799182704639e-05,5.0158407840208996e-05
23900,16353.95,67.97608035163974,8.445381024085149e-05,5.0154354821345856e-05
24000,16393.35,67.14110142088478,8.494992416755106e-05,5.000806238305197e-05
24100,16432.4,64.95413766621687,8.532197420618806e-05,5.0122907861692065e-05
24200,16468.2,61.897980581068275,8.725147683259136e-05,5.0775954468062415e-05
24300,16509.1,62.64495191190827,8.734814595752657e-05,5.065849229103203e-05
24400,16556.55,64.11511132332521,8.924085868076707e-05,5.280019403964471e-05
24500,16605.7,61.28629536846279,8.923512138771579e-05,5.279384006869602e-05
24600,16646.7,64.09921996388523,8.94727395694838e-05,5.2601319988160535e-05
24700,16689.25,66.67598893154866,8.99115615904801e-05,5.3104589969586495e-05
24800,16732.2,69.79369599015817,9.002391441364764e-05,5.2991706305379114e-05
24900,16771.6,67.43545061821017,9.259007241720482e-05,5.711561154660058e-05
25000,16814.35,69.5329238565825,9.574999721037356e-05,5.717574044413394e-05
25100,16852.0,69.62111748617542,9.567672535568136e-05,5.7125458629228114e-05
25200,16890.35,70.42320285295992,9.46252092675345e-05,5.740154950491934e-05
25300,16931.05,69.02063097383439,9.581775613306028e-05,5.683993142799256e-05
25400,16970.2,67.23957168190931,9.573869614294754e-05,5.569466090580001e-05
25500,17005.15,68.27391522379315,0.00010611450458178478,5.873681578568096e-05
25600,17032.35,68.84931009110736,0.00012206488546932735,5.646093299337157e-05
25700,17059.25,70.69220254022419,0.00013957100264616807,5.994867114784995e-05
25800,17085.6,67.33156763377382,0.0001550432177596951,5.583069376216079e-05
25900,17122.5,64.09953197957064,0.00016530446676347606,5.0539680017088854e-05
26000,17161.25,62.73585497961945,0.00016741957188094305,5.415864450130344e-05
26100,17199.75,62.53309123966349,0.00017116508567223252,5.505213474390951e-05
26200,17236.0,63.768330697738655,0.00017647424022298723,5.4562217979334815e-05
26300,17276.65,63.87822398869533,0.00017852275805603737,5.1246154755758315e-05
26400,17315.65,62.06712092506056,0.00017935679309440705,5.1640843544788694e-05
26500,17353.75,60.55648189893596,0.00018227658864855453,5.364736732607678e-05
26600,17392.4,58.9146840773844,0.00017961595303139812,5.195081539339891e-05
26700,17429.1,58.87350847395948,0.0001797892157062225,5.2440689776523354e-05
26800,17463.35,58.95360463986387,0.00017955469008182072,5.200764208257349e-05
26900,17496.5,55.92539673508055,0.00018192567947716232,5.320203709378439e-05
27000,17537.2,54.96507982316246,0.00018375623589999722,5.333863018544235e-05
27100,17580.0,55.1797064146949,0.0001840283346613616,5.0917438760525275e-05
27200,17618.6,54.7132525087027,0.00018695190172655658,5.472116123540159e-05
27300,17653.85,54.84275248454496,0.00018727092872389178,5.530533742000713e-05
27400,17688.4,52.37881251003933,0.00018934866275856563,5.353312039143921e-05
27500,17722.1,49.95287779519272,0.00019110298887785757,5.3044794818172015e-05
27600,17753.6,48.98612048432601,0.00019257009360787187,5.253863598156805e-05
27700,17784.6,50.48504729134694,0.0001949477545539023,5.152038303473539e-05
27800,17818.5,50.3453076261945,0.0001951006085317819,5.141242443550975e-05
27900,17850.95,48.527801310078566,0.0001974566791590624,5.306432567876144e-05
28000,17885.4,49.316731440614504,0.00019847475260229,5.369933869298944e-05
28100,17924.85,48.00132810722241,0.00019913545172145839,5.352495695164851e-05
28200,17961.05,48.96884213507675,0.00019915056391866902,5.3286184443329246e-05
28300,17997.2,51.03097098788756,0.00019984018846579466,5.264842043480891e-05
28400,18033.6,50.64622394691496,0.0002002634086990427,5.2682594585675476e-05
28500,18069.55,51.867595857166776,0.00019987818903004968,5.39177981606395e-05
28600,18102.1,54.407628142175255,0.000202917240677668,5.32878519731335e-05
28700,18132.6,55.91904863333443,0.00020792100983264215,5.044255298376692e-05
28800,18165.4,57.157151783461146,0.00020735953509203405,5.166128392403428e-05
28900,18195.65,57.021289883252656,0.0002082217366461341,5.13193207196843e-05
29000,18227.6,55.8295620622016,0.0002105783104814179,5.184096819548642e-05
29100,18259.0,56.867389600509696,0.00021058446770414043,5.1412895713478975e-05
29200,18293.3,56.668421541475674,0.00021122401666946858,5.214397384573682e-05
29300,18329.15,54.95386701543334,0.00021117756038776638,5.323654400312154e-05
29400,18364.15,54.304949129649074,0.00021118796292680524,5.331353722196322e-05
29500,18395.75,55.95701475239722,0.00021185758666548548,5.2145614380884034e-05
29600,18427.8,56.340571527541925,0.00021492719613465107,5.351709137881798e-05
29700,18456.6,56.81936289731891,0.00021708604636927709,5.397098111720657e-05
29800,18491.55,56.00578095195305,0.00021724244793948694,5.4461679799285744e-05
29900,18523.0,54.230065461662115,0.00021738312916033214,5.463626651107358e-05
30000,18557.3,55.02099599300242,0.0002215737418491397,5.326010056039689e-05
30100,18588.75,53.65712906945505,0.00022196772821031437,5.1201434165005014e-05
30200,18618.0,51.742632325886944,0.0002220282852011157,5.10438211485484e-05
30300,18649.65,50.700369820289964,0.00022362904165339602,4.914295795357595e-05
30400,18682.8,48.488761584786076,0.00022383879326355003,5.039752543728873e-05
30500,18710.9,50.669418784174844,0.0002249688698066883,4.9927518583805175e-05
30600,18739.05,50.95534810056809,0.00022589684333073116,5.034599196366638e-05
30700,18770.8,50.475340513863436,0.0002288287251201527,5.413605261438517e-05
30800,18807.05,51.89939787718452,0.00022863146809631206,5.417805221597829e-05
30900,18840.7,52.745710726222136,0.00022854621441021524,5.4113287222954786e-05
31000,18870.85,52.280278308569265,0.00022841615906922375,5.4252428485587786e-05
31100,18898.65,53.87139779083156,0.0002294532333322716,5.4830201364604355e-05
31200,18927.55,54.53024390202473,0.00023103132947992723,5.501919496648025e-05
31300,18955.25,52.16691959458675,0.00023230724847765104,5.5906371500328136e-05
31400,18987.75,52.967796820107196,0.0002362761724934331,5.7134014529653785e-05
31500,19015.55,52.00622558923256,0.00023803931008664262,5.715591915072166e-05
31600,19044.35,51.97141041027633,0.00024001163687752364,5.835308609664909e-05
31700,19073.75,52.41457335535454,0.0002397694114390818,5.838283853888221e-05
31800,19101.65,54.3822351503681,0.00024112958474104815,5.9147466766352445e-05
31900,19133.2,54.47898677452199,0.00024338455299002278,5.781243621781417e-05
32000,19165.2,58.24912016484491,0.0002463982760890957,5.709813133427048e-05
32100,19188.7,58.7674229480475,0.00025338297227705874,6.279624667065947e-05
32200,19216.2,55.06777642068851,0.0002537168779191559,6.267343186743225e-05
32300,19244.6,55.79193490110857,0.0002548579163493649,6.398835925493393e-05
32400,19273.85,58.742893187866244,0.0002554439956071501,6.340802161853068e-05
32500,19301.6,57.07048273916266,0.00025614309207641975,6.287338907778939e-05
32600,19332.2,54.87677104184012,0.0002585880379956251,6.321562401190786e-05
32700,19361.85,56.5095345941311,0.00025987546991625913,6.344400169646319e-05
32800,19389.7,56.487255199228606,0.0002601638764908675,6.359581655418214e-05
32900,19416.2,55.53071222275671,0.00026029630534838696,6.368137138618159e-05
33000,19444.5,53.12955862794269,0.00026365721509155,6.114378640021698e-05
33100,19471.45,52.20007183871131,0.00026340107979590667,6.18318224208538e-05
33200,19500.0,53.3497891278689,0.00026480139839205963,6.190209758048427e-05
33300,19528.8,53.65687281236565,0.0002683229814160427,6.310096624934848e-05
33400,19559.3,55.66785427898426,0.00026833270358128777,6.330604925859032e-05
33500,19590.05,54.18899796075273,0.0002682452173527317,6.352276830308256e-05
33600,19620.05,53.40550065282173,0.00026940890687932484,6.495740309556502e-05
33700,19644.25,52.94324791710385,0.0002689877282797207,6.42916611636634e-05
33800,19666.55,52.89279251503126,0.000269694024362057,6.406766171291685e-05
33900,19688.3,51.30994055773352,0.0002697297957658767,6.385014865135855e-05
34000,19713.4,51.06016059440168,0.0002694381894696112,6.306307203002945e-05
34100,19737.95,48.79597831742592,0.00027067827393409296,6.267463169902312e-05
34200,19761.55,48.1222142051089,0.00027070295303789155,6.263239178870203e-05
34300,19785.6,48.25909240813818,0.00027245353618114167,6.169696865743635e-05
34400,19809.35,46.28636408348728,0.0002772386670670902,6.480781669946556e-05
34500,19829.95,48.46594164906794,0.0002781797323794397,6.510873675941497e-05
34600,19850.15,50.77034075065885,0.00028419150726062553,7.094710050708665e-05
34700,19874.8,49.10050916247514,0.00028661643161437,7.206006934787331e-05
34800,19900.9,50.84869713094102,0.0002874513385214007,7.217074478861633e-05
34900,19928.0,48.15391988210224,0.00029118748029620574,7.540608528367825e-05
35000,19952.9,44.25370040941311,0.00029103607120494303,7.433575989838486e-05
35100,19974.65,42.269699548989614,0.00029206139264242143,7.442518971925638e-05
35200,19997.5,42.0136882453345,0.0002932931028160939,7.95488485946113e-05
35300,20018.75,41.7969795560866,0.0002952391632743935,8.23827516026956e-05
35400,20040.1,43.13107928258998,0.000296873502560168,8.308314182011977e-05
35500,20062.2,43.051829229180754,0.0002961644089543969,8.524685161531428e-05
35600,20084.25,41.7969795560866,0.000301661899567905,8.624190909949794e-05
35700,20107.05,41.96721935037374,0.00030157320708462746,8.591665426958402e-05
35800,20127.75,40.50046296061122,0.00030339921961141324,8.572123962848177e-05
35900,20149.0,40.842379950534735,0.00030958024681790124,8.521628030350262e-05
36000,20167.5,41.49759029162924,0.000313555230488953,8.420215965383886e-05
36100,20187.25,40.34832710301532,0.00031351573921324747,8.003638434626238e-05
36200,20208.95,39.53666020263399,0.00031397987919820223,8.173976482545508e-05
36300,20231.4,39.578276869237385,0.00031220662744983096,7.983019220507737e-05
36400,20254.85,39.56801107027267,0.0003136034069812484,8.054388310912578e-05
36500,20278.1,39.447306625844284,0.000312803163066468,8.197980850942424e-05
36600,20300.45,40.93467356628781,0.00031372448228419964,8.07698053077312e-05
36700,20316.9,41.39673900125481,0.0003128521805929908,7.854308067709095e-05
36800,20339.8,41.2996368025946,0.0003153415549280628,7.884182114969846e-05
36900,20361.8,40.87860075959045,0.0003185889867603891,7.972405009045666e-05
37000,20386.35,41.22047428229351,0.0003194163683786503,8.071572507182718e-05
